cipcode,publisher_rank,publisher,source_url,program_label
13.0101,1,U.S. News Best Graduate Schools (2026 edition),https://news.wisc.edu/most-recent-u-s-news-rankings-by-department/,Education (graduate school) — 1st nationally among education schools
51.2210,1,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-health-schools/rehabilitation-counseling-rankings,Rehabilitation counseling — 1st nationally
51.0204,1,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-health-schools/speech-language-pathology-rankings,Speech-language pathology (graduate) — 1st nationally (UW summary; see U.S. News SLP rankings)
42.2806,1,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-education-schools/education-psychology-rankings,Educational psychology — 1st nationally (education specialty)
13.1202,2,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-education-schools/teacher-education-rankings,Elementary teacher education — 2nd nationally (education specialty)
14.3501,3,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-engineering-schools/nuclear-engineering-rankings,Nuclear engineering — 3rd nationally (engineering specialty)
13.0301,3,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-education-schools/curriculum-instruction-rankings,Curriculum & instruction — 3rd nationally (education specialty)
52.1501,3,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-business-schools/real-estate-rankings,Real estate (M.B.A. specialty) — 3rd nationally among business-school real estate programs
13.0401,6,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-education-schools/education-administration-rankings,Educational administration & supervision — 6th nationally (education specialty)
51.2001,6,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-health-schools/pharmacy-rankings,Pharmacy (Pharm.D. programs) — 6th nationally among pharmacy schools
01.0901,6,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-health-schools/veterinary-medicine-rankings,Veterinary medicine (D.V.M.) — 6th nationally among veterinary schools
13.1001,7,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-education-schools/special-needs-education-rankings,Special education — 7th nationally (education specialty)
42.0101,8,U.S. News Best Graduate Schools (2025 edition),https://www.usnews.com/best-graduate-schools/top-humanities-schools/psychology-rankings,Psychology (graduate program) — 8th nationally among psychology programs
45.1101,9,U.S. News Best Graduate Schools (2025 edition),https://www.usnews.com/best-graduate-schools/top-humanities-schools/sociology-rankings,Sociology — 9th nationally among sociology programs
14.0701,9,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-engineering-schools/chemical-engineering-rankings,Chemical engineering — 9th nationally (engineering specialty)
11.0101,10,U.S. News Best Graduate Schools (2026 edition),https://www.usnews.com/best-graduate-schools/top-engineering-schools/computer-science-rankings,Computer science — Systems subspecialty ranked 10th nationally (overall CS graduate program ranked 15th in same survey year)
